24,4394029,320053,5931,46245
28,7860119,185853,26679,0
22,5845909,576597,39774,170708
28,2642103,24975,4542,12829
23,1168130,96666,568,6666
1,1311445,34507,544,3040
23,666169,9985,297,1071
28,1728614,74062,2180,15297
22,1338533,69687,678,5643
1,1056891,29943,878,4046
23,859289,34485,726,1914
23,452477,28050,405,2745
23,258781,8085,303,726
24,274358,9215,477,838
24,473691,14740,415,1696
28,514972,18936,641,3817
24,282858,14870,300,1398
1,1582683,65749,1531,3598
26,479951,23945,640,1941
1,2693468,7941,302,1432
10,815608,66420,3578,5550
25,382525,1521,270,1168
24,703750,2921,2196,1042
24,255967,21817,293,2017
10,96872,3498,482,439
17,743947,6126,352,2438
17,10535242,384920,7550,23855
26,483360,16258,245,1588
24,3298456,65730,4360,9504
26,321297,15424,280,3317
10,752844,42290,359,3250
27,602127,19575,658,2510
24,136643,6218,127,524
25,244433,9143,6826,4838
1,917643,25456,731,1073
24,796896,39791,1252,3868
24,2932,71,3,15
25,224532,490,772,597
26,246389,15314,247,1842
1,165647,3712,142,524
27,162818,9531,416,1079
10,163656,19183,137,2154
24,220661,2070,449,352
26,142039,9889,130,1224
22,807779,26521,522,5996
26,1936893,74587,1060,6558
23,279903,4389,138,338
25,262875,1069,183,0
17,185541,12179,115,827
26,27794,1692,34,174
26,315347,19538,204,3172
28,46622,345,47,149
2,668027,3553,1629,889
10,1026622,61409,967,4097
23,1862110,38823,1999,6229
28,148998,2123,101,435
20,182676,3752,165,1163
23,379817,14096,323,1338
10,44621,4165,121,537
24,48688,141,226,256
22,141532,9467,55,956
25,7740,70,1,7
25,16059,139,9,12
22,4618045,104899,2180,11355
24,4661584,17517,2543,2157
17,320880,3858,104,675
2,94123,520,34,96
22,134994,13901,69,1087
25,135280,2032,17,368
10,229235,9746,292,1119
28,14577,160,19,51
23,14706,1619,33,201
23,543283,33686,931,14935
1,39338,2377,103,484
23,62884,6003,72,364
1,196016,5080,56,434
24,2526119,17110,677,5311
15,43199,3263,7,294
25,1157495,15333,990,4641
29,42734,0,0,0
28,16653,83,10,27
26,416462,20164,297,2597
25,470206,942,137,582
28,2604761,28651,2256,6878
24,332176,14279,626,1927
24,7189818,26771,3925,123
27,330895,18023,112,1017
27,230701,11767,184,1519
25,358661,3498,24056,6420
10,101248,4679,93,331
1,498183,6300,112,789
23,1462030,74679,1502,3881
27,4774911,32276,12757,4103
22,2433292,123805,1069,9275
27,295156,10918,149,781
1,165849,3391,297,374
24,322896,8516,470,663
26,1617247,83419,1014,7114
26,185928,6156,129,320
10,265833,3995,197,256
25,28038,845,41,344
25,91229,270,62,211
24,188162,1990,266,192
24,157437,19869,78,2027
25,329459,1158,188,439
24,1153128,45408,4311,5708
25,1769252,8048,2123,3359
26,381229,11618,452,1663
25,260164,2405,121,259
22,1275489,2678,494,895
25,9025,53,1,16
26,13892,327,29,86
10,216040,9301,140,349
28,2036428,41039,2671,15607
25,50155,251,27,146
2,659749,3964,712,278
26,1007014,57545,570,3333
1,7410,48,2,0
22,158816,206,67,153
23,2330211,4893,938,381
17,1002,8,0,3
19,622951,13260,493,1751
10,92783,6491,54,339
28,352284,13099,508,1297
28,8692,340,16,36
24,788310,17141,1054,5521
17,113400,1049,20,297
15,163404,3337,111,447
26,352119,12880,195,517
17,119124,742,48,404
2,7009,45,0,9
10,92656,895,22,143
17,53712,203,4,25
19,763632,51890,194,4852
26,5044462,183483,16582,19443
27,2874,104,0,15
24,1307902,19734,984,3029
24,19431,87,2,10
27,229636,7897,47,781
25,171000,454,85,290
24,1812471,133824,5380,23176
24,11830,200,3,22
10,1851893,24779,2844,2242
25,4801,28,0,8
22,55214,258,5,99
24,116337,17,10,2
28,387873,12099,458,1771
26,406327,20499,516,6361
22,108653,3606,109,699
26,77640,2223,221,390
22,173773,9188,166,876
26,1106140,38670,1576,1470
22,952945,17703,3207,0
17,277903,13343,212,6348
10,700036,49257,995,4863
15,2384595,50009,1918,6584
22,1712,15,0,4
17,13794,40,49,0
10,834567,20322,876,862
1,443606,4231,68,246
24,1493731,23472,3490,5872
10,13728070,468636,6597,20989
10,4850078,146460,8649,4896
26,108839,3677,107,732
23,614717,49443,1986,3970
28,1244953,29748,2639,4112
24,1862718,21516,1960,2108
10,2114219,77679,1874,4529
17,11533,51,7,29
19,109422,200,14,0
24,349856,4403,140,335
23,447037,25068,710,1299
24,226012,9353,156,1282
10,3998451,291383,11624,24246
10,82199,1194,51,194
24,41962,1445,50,268
10,36323498,1431683,28049,100661
25,25652,73,11,62
22,7563,344,1,21
10,845694,64515,625,4325
22,316616,10084,104,331
10,3027926,76505,2880,6414
22,463409,19286,393,2304
25,4761358,50802,1128,8606
10,376381,8909,170,334
24,30851,261,65,49
25,13752002,46101,4898,0
10,433708,24188,712,2383
23,2465146,179085,1567,11973
10,836472,19314,1206,0
26,599780,29851,299,453
10,106186,4695,193,396
28,626600,20553,1033,2138
26,384682,21302,353,1559
26,2451184,176110,1017,6257
10,480279,26662,241,557
15,189414,7070,112,288
25,103666,196,67,80
1,74494,2218,37,159
28,1110865,11255,1817,3631
22,235562,1801,78,96
23,1798895,26425,465,2278
28,12200526,258842,44339,0
24,5457497,349857,17479,52483
28,3654879,30836,6101,16713
15,1398322,35880,619,6246
10,1568852,174771,2166,19191
1,558820,4847,259,1083
28,761705,32608,1562,6864
22,6997601,626155,46445,190979
23,504827,29220,457,2233
23,580441,2520,533,977
23,2084309,128402,1136,8733
23,909358,14539,672,1353
23,1119034,12843,560,1367
28,3087549,93812,3067,19758
25,380266,11558,1286,1783
25,83219,157,190,406
1,1673317,40496,678,3915
24,393968,10053,596,1191
24,990274,22897,639,2430
24,86119,1835,18,230
10,1668188,88182,5893,7373
23,705475,34506,549,3180
24,515740,37881,538,8313
17,367178,5296,199,2422
28,751902,22556,870,4638
1,1341911,33111,1035,4709
24,413029,18228,404,1671
22,1637683,76343,936,6052
24,87153,220,43,115
23,1130469,39886,876,2347
24,378178,25046,1112,2510
28,292585,16909,325,1845
24,41452,485,244,318
28,2741837,72782,7146,18239
26,586091,26816,778,2165
1,2995809,9467,371,1709
28,712467,33015,863,4018
10,159643,4389,651,603
1,1805185,72625,1714,4056
22,71109,4127,50,299
10,1091878,49500,538,3886
22,53673,1208,45,118
25,396448,1557,292,1368
10,50518,1237,30,118
17,11475555,398514,8158,24861
27,772128,21783,813,2839
24,310527,23994,373,2224
25,232505,498,793,642
2,22004,38,15,6
26,55614,2433,84,453
10,111776,4857,68,311
24,240156,7977,189,798
22,17777,15,0,6
10,478747,54551,306,3702
25,19105,154,20,20
10,13459,223,2,23
26,579532,17845,277,1852
28,65650,403,57,175
17,829793,6501,386,2582
26,429138,18017,343,3900
10,91333,6871,183,705
1,1461358,35312,1062,6077
26,22490,1939,15,156
10,93030,6162,81,564
1,229037,4137,157,587
24,3506621,67469,4459,8750
10,285838,31544,422,3563
19,35101,172,5,47
27,205103,10947,471,1206
2,971177,19477,1157,8125
24,1180879,47871,1640,4295
24,564175,33359,489,4152
15,61085,3797,9,362
26,213321,12990,138,1403
10,222206,21395,150,2298
2,675609,3571,1640,920
1,947706,25968,741,1139
22,892442,27575,554,6161
20,219849,3905,181,1329
23,310292,4598,155,371
17,214484,12908,125,937
26,2511218,90146,1320,7936
2,116342,569,37,121
26,496275,25070,236,3634
26,86268,6084,48,686
10,81215,3716,228,494
23,40606,4296,11,605
25,267179,1071,184,0
26,376653,21239,220,3538
1,45843,2548,115,504
10,25912,1602,22,114
22,165684,15485,77,1180
24,12588,1330,4,119
23,70220,6395,80,388
10,1247138,68793,1092,4582
29,51223,0,0,0
24,59907,152,248,286
22,158781,10142,60,1003
23,410406,14671,344,1407
23,1918194,39488,2017,6311
25,179786,2642,25,466
28,19880,112,3,28
10,304490,10871,171,385
23,618587,35336,1143,16645
17,329508,3915,105,697
26,274315,16268,266,1965
24,4959620,18534,2723,2450
22,4830992,107674,2276,11743
26,150257,10185,137,1107
10,264911,11034,304,1231
25,1170059,15377,996,4695
10,54816,4499,129,640
25,364857,3521,24218,6501
24,2817086,18485,723,5728
25,9396,76,2,13
25,482681,949,138,598
28,151736,2153,102,444
28,24701,119,11,54
24,372944,15547,646,2081
27,56016,351,12,20
28,2711006,29072,2279,7081
10,19753,112,5,10
27,348472,18538,115,1070
24,7198312,26768,3932,147
27,252323,12482,202,1635
23,17270,1749,39,213
10,122462,5058,107,355
23,1490599,75508,1519,3978
10,352810,4636,239,331
1,541705,6617,117,901
27,5107032,33851,13164,4404
1,204553,5164,57,447
27,307749,11202,150,800
22,2555997,126897,1115,9470
26,426636,20387,304,2612
26,1681417,85017,1038,7196
26,197356,6357,142,357
1,170608,3442,303,381
25,28456,849,41,357
25,91906,270,62,219
24,168561,20645,81,2100
25,329907,1158,190,434
26,1043993,58482,588,3389
24,1228127,47168,4719,6048
26,16296,361,32,85
22,1297769,2727,514,934
25,1774499,8057,2128,3396
24,200970,2034,271,199
28,11811,401,17,50
26,415382,12329,469,1746
25,10892,60,1,26
28,2064406,41329,2694,15667
25,273256,2408,121,263
25,50537,251,27,150
2,667703,3996,722,280
17,137388,974,76,691
1,9354,53,2,0
24,326281,8616,472,680
22,168512,224,72,182
23,2333602,4894,940,445
17,1097,9,0,7
19,645414,13560,495,1792
10,103175,6708,68,345
17,122620,756,49,445
26,358204,13019,196,521
19,943682,59232,236,5468
24,808962,17617,1060,5684
15,180554,3458,113,459
2,8075,55,0,6
10,96468,914,23,159
17,54261,203,4,30
10,80647,475,23,106
27,2953,105,0,21
24,19468,87,2,14
26,5292941,187251,17328,19816
27,231371,7945,47,786
24,1361619,20383,1020,3113
24,1849541,135169,5430,23408
10,1984548,25976,2917,2345
24,15093,210,3,26
25,5266,29,0,13
1,456328,4309,69,264
22,58026,274,5,105
28,396083,12221,463,1772
24,122194,22,12,5
26,414089,20839,521,6595
22,110816,3644,110,719
